project_name,project_version,Lines_of_Code,Proxy_Indentation,McCabe_Cyclomatic_Complexity,Nested_Block_Depth,McClure,Difficulty,Maintainability_Index,FanOut,Readability,Effort,label
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-2962_023be574,0.545454545,-0.124401914,0.8,0.5,0.75,0.28968254,-0.431994362,1,-0.026315789,0.411014102,2
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-4138_50db442b,-0.5,-0.526315789,-0.6,-1,-0.416666667,-0.365079365,1.109936575,-0.5,2.105263158,-0.162793405,1
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1199_813109d7,0.863636364,-0.009569378,1.4,0,1.083333333,6.281746032,-0.607047216,-0.333333333,0.052631579,7.865389603,3
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-217_46f62443,0.227272727,0.138755981,0.2,1,0.75,0.454365079,-0.274982382,1.583333333,-0.026315789,0.585169689,1
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-209_397f86f6,0.090909091,0.799043062,0,0.5,-0.083333333,-0.063492063,-0.087244538,0.166666667,0,-0.026179815,1
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1199_813109d7,-0.5,-0.526315789,-0.6,-1,-0.416666667,-0.365079365,1.164622974,-0.5,2.605263158,-0.162793405,1
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1190_e29dc4f5,-0.045454545,-0.129186603,0,-0.5,-0.083333333,-0.101190476,0.152642706,-0.333333333,2.052631579,-0.118326677,1
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1190_e29dc4f5,-0.454545455,-0.602870813,-0.6,-1,-0.416666667,-0.365079365,1.033262861,-0.5,1.105263158,-0.162793405,1
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-4138_eb0f9b41,-0.454545455,-0.602870813,-0.6,-1,-0.416666667,-0.365079365,0.824665257,-0.5,2.368421053,-0.162793405,3
accumulo,remotes/origin/bugs-dot-jar_ACCUMULO-1348_6ff92b12,0.636363636,0.224880383,1,0,0.333333333,0.470238095,-0.464411557,0.5,-0.026315789,0.531851109,3
